gene,de_weight,centrality,final_weight
AADACL3,,,
COL11A1,,,
CHIT1,,,
LOC105374435,,,
GKN1,,,
IL37,,,
CHRNA1,,,
LOC105373898,,,
UGT1A7,,,
TRPM8,,,
CNTN6,,,
LOC105377054,,,
SLC38A3,,,
LOC105374113,,,
C4orf48,,,
LOC105374496,,,
FGFBP1,,,
ELOVL6,,,
LOC107986303,,,
SFRP2,,,
C9,,,
C5orf64,,,
SLCO6A1,,,
SLC6A7,,,
LOC105377724,,,
DRD1,,,
CCDC162P,,,
LOC112267968,,,
LOC105375248,,,
LOC105375577,,,
LINC01287,,,
ZNF705G,,,
STC1,,,
IDO1,,,
LOC107984125,,,
DNAJC5B,,,
STMN2,,,
RALYL,,,
RIMS2,,,
LOC107987094,,,
LOC105376188,,,
LINC02621,,,
OIT3,,,
SCD,,,
OLMALINC,,,
SAA3P,,,
ARL14EP-DT,,,
ELF5,,,
FADS1,,,
FADS2,,,
SCGB1A1,,,
LOC105369488,,,
KRT6A,,,
DCD,,,
NXPH4,,,
LOC100506869,,,
AMER2,,,
LOC107984699,,,
SLC27A2,,,
UNC13C,,,
CDH3,,,
ALDOC,,,
RASL10B,,,
KRT16,,,
KRT17,,,
AQP4,,,
B4GALT6,,,
ANGPTL8,,,
LINC01531,,,
LOC101927522,,,
TTYH1,,,
PRND,,,
SEL1L2,,,
LOC105372714,,,
LOC105372692,,,
P2RX6P,,,
MXRA5,,,
LINC02154,,,
LOC105373202,,,
LINC00632,,,
